latitude,longitude,name,country,refcode
25.29,53.08,Abu al Bukhoosh,AE,ABU
25.43,55.48,Al Jazeera Port,AE,JAZ
26.02,56.03,Al Jeer Port,AE,AJP
17.05,-61.45,Parham,AG,PHM
-74.41,164.07,Mario Zucchelli,AQ,MZU
47.25,13.13,Bischofshofen,AT,BFS
48.43,13.35,Falkenstein,AT,LKN
48.13,15.1,Krummnussbaum,AT,KMB
48.11,14.42,Mitterkirchen,AT,MKC
48.29,15.53,Neudegg,AT,NGG
47.11,9.48,Nuziders,AT,NUZ
48.2,14.11,Ottensheim,AT,OSH
48.29,13.45,Sankt Aegidi,AT,SAK
47.51,16.37,Schutzen am Gebirge,AT,SAG
48.07,14.01,Steinhaus,AT,SUS
-34.59,138.5,Balhannah,AU,BAA
-33.44,151.13,Belrose,AU,BE9
-33.32,149.15,Blayney,AU,BNY
-34.2,146.02,Hanwood,AU,HWD
-33.57,151.02,Padstow,AU,DSW
-32.52,151.42,Sandgate,AU,SGT
12.33,-69.58,Bushiribana,AW,BUS
50.36,5.24,Awirs,BE,W5R
51.09,3.58,Eksaarde,BE,EKS
51.01,5.14,Genenbos,BE,GBH
51.01,3.0,Handzame,BE,HNA
51.04,4.09,Moerzeke,BE,MZK
24.54,54.54,Hassyan,AE,HSN
25.04,56.21,Kalba,AE,KLB
25.21,55.22,Mina Khalid,AE,MKH
41.48,19.34,Shengjin,AL,SHG
-75.34,-26.32,Halley,AQ,HLY
-60.44,-44.44,Orcadas,AQ,ORC
-34.01,-59.07,Las Palmas,AR,LPS
-25.25,-66.19,Molinos,AR,NOS
-34.36,-58.31,Pablo Podesta,AR,PP9
-33.41,-59.1,San Pedro,AR,SPD
48.13,14.5,Grein,AT,GRN
48.04,16.47,Hoflein,AT,EIN
48.42,16.03,Jetzelsdorf,AT,ZLF
48.22,-154.0,Krustetten,AT,GHJ
48.29,13.59,Neufelden,AT,NFN
47.56,17.04,Nickelsdorf,AT,ND2
48.36,16.46,Sankt Ulrich,AT,SUH
48.27,16.44,Spannberg,AT,SPG
-31.43,152.17,Bobin,AU,BOB
-37.52,147.02,Bushy Park,AU,BYY
-36.38,146.33,Carboor,AU,CBO
-27.32,153.16,Cleveland,AU,CVN
-37.44,145.09,Eltham,AU,ELT
-38.18,145.15,Hastings,AU,HAS
-34.15,142.1,Irymple,AU,IRY
-21.29,114.0,Nganhurra,AU,NGH
-37.51,145.0,Prahran,AU,PHR
-33.53,151.13,Surry Hills,AU,SUH
-21.27,114.59,Thevenard Island,AU,CTH
-37.47,145.37,Yarra Junction,AU,YRR
40.35,49.4,Sumqayit,AZ,SUQ
50.42,3.15,Estaimpuis,BE,EMP
51.11,5.31,Kaulille,BE,KLE
50.33,3.3,Maubray,BE,MBY
50.5,4.01,Ninove,BE,NNV
25.57,56.03,Rak Maritime City,AE,RMC
-74.36,164.12,Jang Bogo Station,AQ,JBS
-33.07,-68.53,Agrelo,AR,GEO
-33.21,-60.08,Ingeniero Buitrago,AR,BUI
48.36,16.49,Dobermannsdorf,AT,ERR
46.56,16.0,Fehring,AT,FHR
47.5,16.4,Oggau,AT,GGU
46.42,13.38,Paternion,AT,ATK
47.23,13.27,Radstadt,AT,RAD
48.25,13.32,Taufkirchen an der Pram,AT,TKP
48.23,15.41,Theiss,AT,THS
47.48,16.3,Wulkaprodersdorf,AT,WUL
-32.09,116.0,Armadale,AU,AUA
-35.18,138.56,Belvidere,AU,BVD
-36.07,143.43,Boort,AU,BOT
-35.07,138.38,Clarendon,AU,CDN
-37.35,144.06,Gordon,AU,GOR
-12.13,136.4,Gove Harbour,AU,GOH
-35.04,138.3,Halletts Cove,AU,HTT
-34.5,138.38,Ingle Farm,AU,IGF
-34.04,151.08,Port Hacking,AU,T3P
-41.13,146.21,Spreyton,AU,SPO
-32.58,151.39,Warners Bay,AU,WSN
-38.0,145.07,Waterways,AU,WTW
43.39,17.45,Jablanica,BA,JBA
51.02,4.1,Baasrode,BE,BSR
51.0,4.05,Denderbelle,BE,DNB
51.12,5.27,Herent,BE,HET
50.39,5.38,Jupille-sur-Meuse,BE,JAK
50.21,4.15,Lobbes,BE,LBS
-7.38,11.41,Girassol Terminal,AO,GIR
25.16,55.17,Mina Rashid Port,AE,MRP
25.2,56.21,Khor al Fakkan,AE,KLF
25.52,55.01,Abu Musa,AE,AMU
24.07,52.44,Ar Ruways,AE,RUW
-69.24,76.23,Progress,AQ,PRO
-65.14,-64.15,Vernadsky,AQ,VKY
-34.05,-60.07,Arrecifes,AR,ACF
